municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
Malhada dos Bois (SE),"0,599","0,560","0,722","0,531"
Pedra Branca (PB),"0,599","0,532","0,761","0,532"
Mansidão (BA),"0,599","0,503","0,752","0,568"
Tanque Novo (BA),"0,599","0,583","0,778","0,474"
Lafaiete Coutinho (BA),"0,599","0,576","0,771","0,483"
Mãe do Rio (PA),"0,599","0,615","0,763","0,458"
Cravolândia (BA),"0,599","0,559","0,765","0,503"
Hugo Napoleão (PI),"0,599","0,528","0,776","0,524"
Boa Ventura (PB),"0,599","0,566","0,790","0,480"
Padre Carvalho (MG),"0,599","0,575","0,795","0,471"
Alagoinha (PE),"0,599","0,569","0,801","0,472"
Agricolândia (PI),"0,599","0,550","0,742","0,526"
Itabela (BA),"0,599","0,614","0,751","0,465"
Itapecuru Mirim (MA),"0,599","0,534","0,747","0,539"
Barro (CE),"0,599","0,556","0,758","0,510"
Itajuípe (BA),"0,599","0,609","0,759","0,466"
Porto Estrela (MT),"0,599","0,571","0,804","0,467"
Antonina do Norte (CE),"0,599","0,550","0,772","0,506"
Bandeira (MG),"0,599","0,583","0,811","0,454"
Chã Grande (PE),"0,599","0,603","0,803","0,443"
Itapé (BA),"0,599","0,574","0,761","0,491"
Terra Nova (PE),"0,599","0,545","0,741","0,533"
Xapuri (AC),"0,599","0,621","0,773","0,448"
Parnamirim (PE),"0,599","0,556","0,776","0,499"
São João Batista (MA),"0,598","0,493","0,752","0,577"
Chapada do Norte (MG),"0,598","0,571","0,798","0,469"
Altinho (PE),"0,598","0,559","0,792","0,482"
Seringueiras (RO),"0,598","0,644","0,779","0,427"
Jucás (CE),"0,598","0,541","0,772","0,511"
Nossa Senhora de Lourdes (SE),"0,598","0,560","0,719","0,532"
Monte das Gameleiras (RN),"0,598","0,560","0,752","0,509"
Serrinha dos Pintos (RN),"0,598","0,555","0,782","0,492"
Antônio Gonçalves (BA),"0,598","0,580","0,741","0,498"
Belmonte (BA),"0,598","0,577","0,771","0,480"
Santa Maria do Pará (PA),"0,598","0,595","0,764","0,471"
Amarante (PI),"0,598","0,574","0,750","0,497"
Boa Viagem (CE),"0,598","0,553","0,768","0,504"
Santaluz (BA),"0,598","0,559","0,764","0,500"
Urandi (BA),"0,598","0,595","0,766","0,469"
Pombos (PE),"0,598","0,584","0,790","0,463"
Iguaraci (PE),"0,598","0,580","0,770","0,480"
Serra Negra do Norte (RN),"0,597","0,578","0,787","0,468"
Tanquinho (BA),"0,597","0,567","0,768","0,488"
São Domingos (GO),"0,597","0,576","0,830","0,445"
Lagoa Grande (PE),"0,597","0,581","0,705","0,520"
Frutuoso Gomes (RN),"0,597","0,565","0,737","0,512"
Cariús (CE),"0,597","0,546","0,751","0,519"
Hidrolândia (CE),"0,597","0,549","0,775","0,499"
Sirinhaém (PE),"0,597","0,568","0,763","0,492"
Angelândia (MG),"0,597","0,594","0,756","0,473"
Santa Luzia do Norte (AL),"0,597","0,580","0,770","0,477"
Morro do Pilar (MG),"0,597","0,622","0,809","0,422"
Lagoinha do Piauí (PI),"0,597","0,561","0,776","0,488"
Fernando Pedroza (RN),"0,597","0,565","0,727","0,519"
Nova Fátima (BA),"0,597","0,575","0,738","0,501"
Aguiar (PB),"0,597","0,632","0,753","0,447"
Bom Jesus (PB),"0,597","0,584","0,762","0,477"
Novo Horizonte (BA),"0,597","0,558","0,757","0,503"
Materlândia (MG),"0,597","0,557","0,769","0,497"
Maribondo (AL),"0,597","0,581","0,751","0,487"
Brejões (BA),"0,597","0,560","0,775","0,490"
Brejo do Cruz (PB),"0,597","0,575","0,798","0,463"
Flores de Goiás (GO),"0,597","0,583","0,799","0,457"
Magalhães Barata (PA),"0,597","0,524","0,801","0,507"
Central (BA),"0,596","0,540","0,728","0,538"
Cariré (CE),"0,596","0,537","0,749","0,526"
Vitória do Mearim (MA),"0,596","0,540","0,733","0,534"
Manaquiri (AM),"0,596","0,556","0,748","0,510"
Upanema (RN),"0,596","0,542","0,758","0,516"
São Braz do Piauí (PI),"0,596","0,533","0,771","0,514"
Lapão (BA),"0,596","0,550","0,755","0,510"
Machadinho D'Oeste (RO),"0,596","0,629","0,755","0,446"
Colinas (MA),"0,596","0,571","0,709","0,524"
Muricilândia (TO),"0,596","0,543","0,745","0,524"
Padre Paraíso (MG),"0,596","0,556","0,797","0,478"
Cocos (BA),"0,596","0,558","0,805","0,471"
Cacimba de Areia (PB),"0,596","0,553","0,771","0,497"
Governador Jorge Teixeira (RO),"0,596","0,627","0,762","0,444"
Vitória do Xingu (PA),"0,596","0,594","0,792","0,451"
Piracuruca (PI),"0,596","0,575","0,770","0,478"
Novo Jardim (TO),"0,596","0,559","0,730","0,520"
João Câmara (RN),"0,595","0,600","0,724","0,484"
Ponto dos Volantes (MG),"0,595","0,564","0,781","0,478"
Presidente Kubitschek (MG),"0,595","0,573","0,787","0,468"
Itacuruba (PE),"0,595","0,567","0,712","0,523"
Arauá (SE),"0,595","0,550","0,783","0,490"
Solânea (PB),"0,595","0,592","0,762","0,468"
Serra do Ramalho (BA),"0,595","0,530","0,775","0,512"
Granito (PE),"0,595","0,543","0,773","0,502"
Santa Rosa do Tocantins (TO),"0,595","0,574","0,780","0,471"
Barras (PI),"0,595","0,558","0,779","0,485"
São Geraldo do Araguaia (PA),"0,595","0,594","0,793","0,447"
Trindade (PE),"0,595","0,602","0,768","0,455"
Serrita (PE),"0,595","0,542","0,760","0,512"
Alagoinha (PB),"0,595","0,574","0,795","0,462"
Emas (PB),"0,595","0,554","0,773","0,492"
Nova Nazaré (MT),"0,595","0,621","0,793","0,427"
São Bento do Trairí (RN),"0,595","0,526","0,763","0,525"
Zé Doca (MA),"0,595","0,559","0,745","0,505"
Ouro Verde de Minas (MG),"0,595","0,582","0,789","0,459"
Igarapé-Açu (PA),"0,595","0,579","0,743","0,490"
Nova Palmeira (PB),"0,595","0,567","0,762","0,488"
Eliseu Martins (PI),"0,595","0,616","0,742","0,462"
Paranã (TO),"0,595","0,588","0,777","0,461"
São Lourenço do Piauí (PI),"0,595","0,560","0,753","0,499"
Acopiara (CE),"0,595","0,563","0,724","0,517"
Jundiá (RN),"0,595","0,552","0,775","0,492"
Codó (MA),"0,595","0,568","0,754","0,492"
Pirpirituba (PB),"0,595","0,566","0,745","0,499"
São Pedro do Piauí (PI),"0,595","0,553","0,776","0,492"
Bertópolis (MG),"0,594","0,576","0,799","0,455"
Carrasco Bonito (TO),"0,594","0,543","0,728","0,531"
Batalha (AL),"0,594","0,563","0,752","0,496"
Condado (PB),"0,594","0,573","0,769","0,476"
Anísio de Abreu (PI),"0,594","0,534","0,768","0,512"
Areia (PB),"0,594","0,593","0,756","0,467"
Teodoro Sampaio (BA),"0,594","0,567","0,774","0,477"
São Félix do Xingu (PA),"0,594","0,638","0,798","0,411"
São Domingos do Araguaia (PA),"0,594","0,629","0,738","0,451"
Varzelândia (MG),"0,594","0,546","0,806","0,477"
Óbidos (PA),"0,594","0,556","0,756","0,499"
Itororó (BA),"0,594","0,598","0,739","0,474"
Tapiramutá (BA),"0,594","0,589","0,752","0,473"
Bannach (PA),"0,594","0,635","0,784","0,420"
Pintópolis (MG),"0,594","0,560","0,799","0,469"
Normandia (RR),"0,594","0,520","0,801","0,502"
Riacho de Santo Antônio (PB),"0,594","0,569","0,735","0,502"
Santana dos Garrotes (PB),"0,594","0,568","0,772","0,479"
Quiterianópolis (CE),"0,594","0,524","0,774","0,518"
Custódia (PE),"0,594","0,607","0,706","0,489"
São Julião (PI),"0,594","0,593","0,775","0,455"
Ocara (CE),"0,594","0,524","0,771","0,519"
Anamã (AM),"0,594","0,537","0,741","0,526"
São Sebastião de Lagoa de Roça (PB),"0,594","0,561","0,795","0,471"
Rio do Pires (BA),"0,594","0,568","0,767","0,481"
Miravânia (MG),"0,593","0,544","0,781","0,492"
Pedra Mole (SE),"0,593","0,599","0,698","0,499"
Jardim do Mulato (PI),"0,593","0,532","0,711","0,550"
João Dourado (BA),"0,593","0,573","0,709","0,513"
Belém (AL),"0,593","0,587","0,764","0,464"
Aragominas (TO),"0,593","0,611","0,739","0,461"
Pão de Açúcar (AL),"0,593","0,536","0,793","0,491"
Jacaraci (BA),"0,593","0,573","0,741","0,490"
Buenos Aires (PE),"0,593","0,556","0,778","0,481"
Glória (BA),"0,593","0,563","0,775","0,479"
Diamante (PB),"0,593","0,562","0,748","0,496"
Ubatã (BA),"0,593","0,586","0,788","0,452"
Santa Terezinha (PE),"0,593","0,540","0,737","0,524"
São Bento do Una (PE),"0,593","0,593","0,789","0,446"
Carnaubal (CE),"0,593","0,536","0,760","0,513"
Maraú (BA),"0,593","0,643","0,801","0,404"
Comercinho (MG),"0,593","0,566","0,797","0,462"
União dos Palmares (AL),"0,593","0,590","0,764","0,462"
Campo Novo de Rondônia (RO),"0,593","0,667","0,772","0,404"
Tacuru (MS),"0,593","0,615","0,782","0,434"
São Miguel das Matas (BA),"0,593","0,568","0,783","0,468"
Tamandaré (PE),"0,593","0,583","0,745","0,479"
Santanópolis (BA),"0,592","0,561","0,746","0,496"
Caridade (CE),"0,592","0,528","0,779","0,505"
Santa Rosa de Lima (SE),"0,592","0,527","0,766","0,514"
Brejolândia (BA),"0,592","0,533","0,746","0,523"
Pedrinhas (SE),"0,592","0,568","0,750","0,486"
Juruti (PA),"0,592","0,547","0,756","0,501"
Nova Belém (MG),"0,592","0,563","0,768","0,481"
Mazagão (AP),"0,592","0,609","0,758","0,449"
Tartarugalzinho (AP),"0,592","0,553","0,794","0,473"
Juvenília (MG),"0,592","0,535","0,776","0,501"
Venturosa (PE),"0,592","0,570","0,751","0,484"
Conceição do Tocantins (TO),"0,592","0,588","0,739","0,478"
Fronteira dos Vales (MG),"0,592","0,556","0,813","0,460"
Passira (PE),"0,592","0,559","0,763","0,487"
Coração de Maria (BA),"0,592","0,558","0,762","0,489"
Itapetim (PE),"0,592","0,598","0,704","0,494"
Cupira (PE),"0,592","0,601","0,763","0,453"
Barão de Grajaú (MA),"0,592","0,578","0,743","0,484"
Araçoiaba (PE),"0,592","0,544","0,765","0,498"
Agrestina (PE),"0,592","0,581","0,760","0,470"
Alvarenga (MG),"0,592","0,589","0,798","0,441"
Ingá (PB),"0,592","0,573","0,768","0,471"
São Vicente Ferrer (MA),"0,592","0,504","0,762","0,541"
Coremas (PB),"0,592","0,578","0,794","0,452"
Conceição (PB),"0,592","0,577","0,754","0,476"
Caiçara (PB),"0,592","0,580","0,733","0,488"
Itaju do Colônia (BA),"0,592","0,570","0,724","0,502"
Bom Sucesso (PB),"0,592","0,558","0,752","0,494"
Belém (PB),"0,592","0,557","0,759","0,492"
Viçosa (RN),"0,592","0,552","0,747","0,502"
Tenente Ananias (RN),"0,592","0,570","0,779","0,468"
Serrinha (RN),"0,592","0,547","0,757","0,502"
Riachuelo (RN),"0,592","0,561","0,767","0,481"
Souto Soares (BA),"0,592","0,533","0,734","0,530"
Governador Dix-Sept Rosado (RN),"0,592","0,564","0,759","0,485"
Brejinho (RN),"0,592","0,585","0,722","0,492"
Antas (BA),"0,592","0,573","0,739","0,491"
Alto Alegre dos Parecis (RO),"0,592","0,603","0,777","0,443"
Miraíma (CE),"0,592","0,510","0,778","0,523"
São Gabriel (BA),"0,592","0,550","0,704","0,537"
Queimadas (BA),"0,592","0,550","0,764","0,493"
Quixelô (CE),"0,591","0,548","0,725","0,520"
Riacho de Santana (RN),"0,591","0,545","0,776","0,489"
Ibiracatu (MG),"0,591","0,537","0,786","0,489"
Mirandiba (PE),"0,591","0,512","0,769","0,525"
Santana do Matos (RN),"0,591","0,559","0,767","0,482"
Dom Basílio (BA),"0,591","0,547","0,783","0,482"
São Miguel do Gostoso (RN),"0,591","0,558","0,790","0,468"
Cuité (PB),"0,591","0,574","0,766","0,470"
São Caitano (PE),"0,591","0,583","0,756","0,469"
Presidente Médici (MA),"0,591","0,518","0,762","0,522"
Ibicoara (BA),"0,591","0,583","0,731","0,484"
Brejo Grande do Araguaia (PA),"0,591","0,588","0,743","0,473"
São Miguel do Guamá (PA),"0,591","0,582","0,752","0,471"
Regeneração (PI),"0,591","0,582","0,714","0,498"
Jerumenha (PI),"0,591","0,569","0,787","0,461"
Santana do Ipanema (AL),"0,591","0,579","0,770","0,463"
Umari (CE),"0,591","0,535","0,778","0,497"
São Miguel dos Milagres (AL),"0,591","0,545","0,752","0,504"
Pocinhos (PB),"0,591","0,556","0,779","0,477"
Iuiú (BA),"0,591","0,553","0,740","0,504"
Candiba (BA),"0,591","0,578","0,743","0,481"
Pires Ferreira (CE),"0,591","0,510","0,769","0,526"
São José de Piranhas (PB),"0,591","0,594","0,755","0,461"
Frei Gaspar (MG),"0,590","0,569","0,799","0,452"
Utinga (BA),"0,590","0,597","0,706","0,487"
Croatá (CE),"0,590","0,497","0,760","0,544"
São Domingos do Azeitão (MA),"0,590","0,576","0,732","0,486"
Santana do São Francisco (SE),"0,590","0,544","0,716","0,526"
Paratinga (BA),"0,590","0,519","0,774","0,510"
Pai Pedro (MG),"0,590","0,520","0,760","0,520"
Cotegipe (BA),"0,590","0,545","0,746","0,504"
Sapucaia (PA),"0,590","0,639","0,792","0,405"
Pedras de Fogo (PB),"0,590","0,568","0,771","0,468"
Ararendá (CE),"0,590","0,522","0,763","0,516"
Porto do Mangue (RN),"0,590","0,558","0,732","0,504"
Buriti Bravo (MA),"0,590","0,539","0,752","0,506"
Montadas (PB),"0,590","0,545","0,748","0,505"
Marcos Parente (PI),"0,590","0,580","0,717","0,494"
Santa Maria (RN),"0,590","0,554","0,779","0,477"
Canavieiras (BA),"0,590","0,596","0,796","0,434"
Ipupiara (BA),"0,590","0,558","0,736","0,499"
Mundo Novo (BA),"0,590","0,606","0,791","0,429"
Serrolândia (BA),"0,590","0,560","0,721","0,508"
Santa Maria da Boa Vista (PE),"0,590","0,564","0,773","0,472"
Esplanada (BA),"0,589","0,589","0,740","0,469"
Coronel Sapucaia (MS),"0,589","0,607","0,806","0,417"
Lago da Pedra (MA),"0,589","0,561","0,724","0,502"
Redenção do Gurguéia (PI),"0,589","0,557","0,766","0,478"
Lagoa de Velhos (RN),"0,589","0,566","0,789","0,458"
Lajeado Novo (MA),"0,589","0,561","0,738","0,494"
Passagem (RN),"0,589","0,547","0,747","0,501"
Baianópolis (BA),"0,589","0,543","0,763","0,492"
Anguera (BA),"0,589","0,565","0,766","0,471"
São Domingos do Cariri (PB),"0,589","0,603","0,773","0,438"
Bujari (AC),"0,589","0,603","0,772","0,439"
Conceição do Canindé (PI),"0,589","0,559","0,759","0,482"
Dormentes (PE),"0,589","0,558","0,741","0,495"
Theobroma (RO),"0,589","0,622","0,757","0,434"
Neópolis (SE),"0,589","0,575","0,702","0,505"
Paulo Jacinto (AL),"0,589","0,551","0,732","0,507"
Monte Alegre (PA),"0,589","0,541","0,764","0,495"
Frei Paulo (SE),"0,589","0,623","0,768","0,428"
Uruará (PA),"0,589","0,609","0,798","0,420"
Paraná (RN),"0,589","0,532","0,776","0,496"
Tocantínia (TO),"0,589","0,570","0,782","0,459"
Palestina do Pará (PA),"0,589","0,574","0,761","0,467"
Piranhas (AL),"0,589","0,563","0,786","0,462"
Olho D'Água das Cunhãs (MA),"0,589","0,551","0,754","0,491"
Carnaubais (RN),"0,589","0,583","0,738","0,476"
São Pedro (RN),"0,589","0,574","0,794","0,449"
Itagibá (BA),"0,589","0,566","0,770","0,469"
Bom Jesus do Tocantins (PA),"0,589","0,601","0,777","0,437"
Luís Domingues (MA),"0,588","0,541","0,734","0,512"
Afrânio (PE),"0,588","0,542","0,761","0,493"
Carira (SE),"0,588","0,581","0,791","0,442"
Caldeirão Grande do Piauí (PI),"0,588","0,561","0,744","0,486"
Assis Brasil (AC),"0,588","0,578","0,770","0,456"
São Domingos (SE),"0,588","0,572","0,756","0,471"
Pedrão (BA),"0,588","0,534","0,775","0,490"
Ataléia (MG),"0,588","0,592","0,813","0,423"
Belterra (PA),"0,588","0,548","0,775","0,478"
Morrinhos (CE),"0,588","0,524","0,760","0,511"
Colônia do Piauí (PI),"0,588","0,570","0,772","0,462"
Tailândia (PA),"0,588","0,583","0,776","0,450"
Morro do Chapéu (BA),"0,588","0,554","0,766","0,478"
Paranhos (MS),"0,588","0,566","0,811","0,444"
Andorinha (BA),"0,588","0,586","0,731","0,474"
Boca do Acre (AM),"0,588","0,576","0,777","0,455"
Aramari (BA),"0,588","0,568","0,761","0,470"
Urbano Santos (MA),"0,588","0,506","0,770","0,522"
Feira da Mata (BA),"0,588","0,527","0,763","0,505"
Camocim de São Félix (PE),"0,588","0,585","0,738","0,472"
Urucurituba (AM),"0,588","0,538","0,776","0,487"
Santa Luz (PI),"0,588","0,539","0,768","0,490"
Maués (AM),"0,588","0,549","0,800","0,464"
Santana do Acaraú (CE),"0,587","0,536","0,755","0,500"
Castelo do Piauí (PI),"0,587","0,566","0,754","0,473"
São Francisco (SE),"0,587","0,564","0,732","0,490"
Pé de Serra (BA),"0,587","0,558","0,779","0,465"
Guaraqueçaba (PR),"0,587","0,587","0,792","0,434"
Dom Feliciano (RS),"0,587","0,633","0,818","0,390"
Nossa Senhora da Glória (SE),"0,587","0,591","0,750","0,456"
Paulista (PB),"0,587","0,587","0,747","0,461"
Moita Bonita (SE),"0,587","0,596","0,792","0,429"
Malhador (SE),"0,587","0,587","0,781","0,442"
Wagner (BA),"0,587","0,573","0,737","0,479"
Monte Horebe (PB),"0,587","0,579","0,755","0,463"
Umirim (CE),"0,587","0,514","0,751","0,524"
Presidente Vargas (MA),"0,587","0,470","0,768","0,560"
Caiçara do Rio do Vento (RN),"0,587","0,553","0,734","0,499"
Coronel Ezequiel (RN),"0,587","0,545","0,778","0,476"
Joaíma (MG),"0,587","0,572","0,789","0,448"
Tupiratins (TO),"0,587","0,601","0,791","0,425"
Cachoeira dos Índios (PB),"0,587","0,583","0,766","0,453"
Montezuma (MG),"0,587","0,587","0,809","0,425"
Santarém Novo (PA),"0,587","0,520","0,774","0,502"
Canarana (BA),"0,587","0,555","0,734","0,496"
Nova União (RO),"0,587","0,608","0,753","0,442"
Vera Cruz (RN),"0,587","0,558","0,735","0,494"
Candeal (BA),"0,587","0,554","0,787","0,465"
Poço Branco (RN),"0,587","0,562","0,766","0,471"
Santa Teresinha (BA),"0,587","0,549","0,804","0,459"
Nova Mamoré (RO),"0,587","0,619","0,769","0,424"
Viçosa (AL),"0,586","0,554","0,758","0,478"
Laje (BA),"0,586","0,548","0,764","0,480"
Coari (AM),"0,586","0,606","0,780","0,425"
Nhamundá (AM),"0,586","0,513","0,779","0,503"
Nossa Senhora de Nazaré (PI),"0,586","0,557","0,780","0,462"
Miguel Calmon (BA),"0,586","0,571","0,745","0,472"
Ibiara (PB),"0,586","0,548","0,768","0,479"
Porto Calvo (AL),"0,586","0,558","0,723","0,498"
Tavares (PB),"0,586","0,560","0,777","0,462"
Serra Grande (PB),"0,586","0,549","0,745","0,491"
Tomé-Açu (PA),"0,586","0,596","0,798","0,424"
Esperantinópolis (MA),"0,586","0,561","0,713","0,503"
Campo Formoso (BA),"0,586","0,566","0,749","0,475"
Itaquitinga (PE),"0,586","0,554","0,715","0,509"
Varzedo (BA),"0,586","0,581","0,753","0,461"
Chaval (CE),"0,586","0,524","0,716","0,536"
Barreiros (PE),"0,586","0,561","0,730","0,491"
Coqueiro Seco (AL),"0,586","0,582","0,757","0,457"
Sussuapara (PI),"0,586","0,563","0,749","0,476"
Palmas de Monte Alto (BA),"0,586","0,561","0,777","0,462"
São Tomé (RN),"0,585","0,565","0,770","0,461"
Alto Longá (PI),"0,585","0,567","0,751","0,470"
Ibitiara (BA),"0,585","0,550","0,744","0,490"
Baixa Grande (BA),"0,585","0,549","0,775","0,471"
Nacip Raydan (MG),"0,585","0,640","0,831","0,377"
Lagoa Nova (RN),"0,585","0,542","0,764","0,483"
Olho-D'Água do Borges (RN),"0,585","0,577","0,719","0,482"
Central do Maranhão (MA),"0,585","0,503","0,713","0,557"
São Caetano de Odivelas (PA),"0,585","0,552","0,767","0,473"
Rio Tinto (PB),"0,585","0,562","0,742","0,480"
Crisólita (MG),"0,585","0,579","0,799","0,432"
Cícero Dantas (BA),"0,585","0,590","0,712","0,477"
Nina Rodrigues (MA),"0,585","0,474","0,774","0,547"
Granjeiro (CE),"0,585","0,533","0,715","0,526"
Sairé (PE),"0,585","0,581","0,784","0,440"
Laranjal (PR),"0,585","0,581","0,790","0,436"
Solidão (PE),"0,585","0,547","0,755","0,485"
Caraúbas (PB),"0,585","0,580","0,710","0,485"
Xique-Xique (BA),"0,585","0,563","0,741","0,479"
Choró (CE),"0,585","0,493","0,778","0,523"
Curral de Dentro (MG),"0,585","0,571","0,759","0,462"
Sento Sé (BA),"0,585","0,535","0,778","0,480"
Mamanguape (PB),"0,585","0,585","0,756","0,453"
Alegrete do Piauí (PI),"0,585","0,564","0,749","0,475"
Afonso Bezerra (RN),"0,585","0,560","0,713","0,502"
Verdelândia (MG),"0,584","0,542","0,797","0,462"
Tejuçuoca (CE),"0,584","0,517","0,742","0,520"
Nova Iorque (MA),"0,584","0,558","0,729","0,489"
Santo Antônio de Lisboa (PI),"0,584","0,597","0,704","0,473"
Juarina (TO),"0,584","0,563","0,742","0,478"
Parari (PB),"0,584","0,583","0,733","0,467"
Matriz de Camaragibe (AL),"0,584","0,541","0,777","0,473"
Riacho da Cruz (RN),"0,584","0,545","0,751","0,487"
Landri Sales (PI),"0,584","0,563","0,738","0,480"
Lajedo do Tabocal (BA),"0,584","0,545","0,764","0,479"
Tabocas do Brejo Velho (BA),"0,584","0,530","0,764","0,492"
Itanagra (BA),"0,584","0,577","0,796","0,433"
Umbuzeiro (PB),"0,584","0,545","0,712","0,514"
Ibipitanga (BA),"0,584","0,553","0,757","0,475"
Ibicuí (BA),"0,584","0,586","0,780","0,435"
Érico Cardoso (BA),"0,584","0,558","0,758","0,471"
Cavalcante (GO),"0,584","0,595","0,808","0,415"
Vale do Anari (RO),"0,584","0,626","0,756","0,421"
Cafarnaum (BA),"0,584","0,554","0,734","0,490"
São Francisco do Brejão (MA),"0,584","0,556","0,748","0,479"
Feira Nova (SE),"0,584","0,546","0,773","0,473"
Bom Jesus (RN),"0,584","0,583","0,743","0,460"
Canavieira (PI),"0,583","0,525","0,778","0,485"
Carnaíba (PE),"0,583","0,540","0,727","0,505"
Capitão de Campos (PI),"0,583","0,552","0,773","0,465"
Senador Elói de Souza (RN),"0,583","0,523","0,752","0,504"
Cristália (MG),"0,583","0,518","0,795","0,482"
Jacaré dos Homens (AL),"0,583","0,543","0,759","0,481"
Buritirana (MA),"0,583","0,540","0,725","0,505"
Felisburgo (MG),"0,583","0,577","0,744","0,462"
Coluna (MG),"0,583","0,590","0,782","0,430"
Pinhão (SE),"0,583","0,580","0,711","0,480"
Lagoa do Piauí (PI),"0,583","0,548","0,778","0,464"
Aiquara (BA),"0,583","0,573","0,733","0,471"
Cabeceiras do Piauí (PI),"0,583","0,540","0,769","0,476"
Logradouro (PB),"0,583","0,544","0,776","0,470"
Paramoti (CE),"0,583","0,515","0,741","0,518"
Lucena (PB),"0,583","0,577","0,734","0,469"
Aroazes (PI),"0,583","0,563","0,752","0,468"
São João da Ponta (PA),"0,583","0,522","0,767","0,495"
Pedro Avelino (RN),"0,583","0,577","0,788","0,435"
Itaueira (PI),"0,583","0,594","0,727","0,460"
Macambira (SE),"0,583","0,573","0,728","0,474"
Dois Irmãos do Tocantins (TO),"0,583","0,551","0,813","0,442"
Pau Brasil (BA),"0,583","0,580","0,727","0,470"
Praia Norte (TO),"0,583","0,526","0,730","0,517"
Floresta do Araguaia (PA),"0,583","0,573","0,792","0,437"
São José da Safira (MG),"0,583","0,600","0,765","0,432"
Itacaré (BA),"0,583","0,594","0,807","0,413"
Santa Bárbara (BA),"0,583","0,554","0,775","0,462"
Condeúba (BA),"0,582","0,559","0,789","0,447"
Aricanduva (MG),"0,582","0,553","0,787","0,454"
Loreto (MA),"0,582","0,516","0,771","0,495"
Maracaçumé (MA),"0,582","0,546","0,719","0,501"
São Domingos do Maranhão (MA),"0,582","0,549","0,713","0,504"
Ubaíra (BA),"0,582","0,581","0,759","0,447"
Catolândia (BA),"0,582","0,554","0,786","0,452"
Vertentes (PE),"0,582","0,602","0,728","0,450"
Alhandra (PB),"0,582","0,544","0,778","0,465"
Alagoa Grande (PB),"0,582","0,576","0,797","0,430"
Itatim (BA),"0,582","0,550","0,782","0,459"
Serra de São Bento (RN),"0,582","0,551","0,741","0,482"
Medicilândia (PA),"0,582","0,605","0,800","0,408"
Curuçá (PA),"0,582","0,542","0,758","0,480"
Isaías Coelho (PI),"0,582","0,628","0,767","0,410"
Lagoa Salgada (RN),"0,582","0,551","0,771","0,464"
Júlio Borges (PI),"0,582","0,500","0,777","0,508"
Iracema (RR),"0,582","0,560","0,810","0,434"
Rubelita (MG),"0,582","0,552","0,808","0,443"
Bento Fernandes (RN),"0,582","0,542","0,737","0,494"
Manicoré (AM),"0,582","0,580","0,747","0,456"
São João da Serra (PI),"0,582","0,545","0,757","0,478"
Mombaça (CE),"0,582","0,549","0,735","0,489"
Acajutiba (BA),"0,582","0,560","0,723","0,487"
Baía da Traição (PB),"0,581","0,541","0,731","0,495"
Darcinópolis (TO),"0,581","0,597","0,764","0,429"
Vila Nova dos Martírios (MA),"0,581","0,555","0,718","0,491"
Curaçá (BA),"0,581","0,544","0,778","0,463"
São Sebastião do Maranhão (MG),"0,581","0,564","0,816","0,427"
Mata Verde (MG),"0,581","0,581","0,749","0,450"
Anapurus (MA),"0,581","0,511","0,764","0,502"
Mascote (BA),"0,581","0,567","0,744","0,464"
Cabaceiras do Paraguaçu (BA),"0,581","0,525","0,763","0,490"
Poranga (CE),"0,581","0,527","0,746","0,500"
Anajatuba (MA),"0,581","0,523","0,762","0,492"
Tenório (PB),"0,581","0,565","0,707","0,490"
Aracatu (BA),"0,581","0,591","0,754","0,439"
São Sebastião do Umbuzeiro (PB),"0,581","0,561","0,763","0,459"
Nova Ipixuna (PA),"0,581","0,590","0,766","0,435"
Lima Campos (MA),"0,581","0,578","0,705","0,481"
Sigefredo Pacheco (PI),"0,581","0,518","0,764","0,496"
Lago do Junco (MA),"0,581","0,537","0,741","0,492"
Camacan (BA),"0,581","0,608","0,768","0,419"
São José do Brejo do Cruz (PB),"0,581","0,535","0,776","0,473"
Nova Olinda do Maranhão (MA),"0,581","0,536","0,755","0,484"
Peixe-Boi (PA),"0,581","0,543","0,754","0,478"
Moraújo (CE),"0,581","0,495","0,768","0,516"
Congo (PB),"0,581","0,562","0,731","0,477"
Limoeiro de Anadia (AL),"0,580","0,575","0,742","0,457"
Fervedouro (MG),"0,580","0,583","0,796","0,420"
Paraibano (MA),"0,580","0,572","0,723","0,473"
Indiaroba (SE),"0,580","0,533","0,772","0,475"
Tamboril (CE),"0,580","0,526","0,779","0,476"
Jaguaquara (BA),"0,580","0,586","0,747","0,446"
Maurilândia do Tocantins (TO),"0,580","0,542","0,724","0,498"
Amaraji (PE),"0,580","0,575","0,748","0,454"
Fortuna (MA),"0,580","0,558","0,706","0,494"
São Francisco (PB),"0,580","0,560","0,726","0,481"
São Bento (PB),"0,580","0,597","0,769","0,424"
Ibirajuba (PE),"0,580","0,545","0,753","0,476"
Ponto Novo (BA),"0,580","0,539","0,762","0,475"
Desterro (PB),"0,580","0,551","0,724","0,490"
Elesbão Veloso (PI),"0,580","0,573","0,758","0,450"
Primavera (PE),"0,580","0,572","0,767","0,444"
Tanque do Piauí (PI),"0,579","0,553","0,704","0,499"
Cordeiros (BA),"0,579","0,561","0,763","0,454"
Umbaúba (SE),"0,579","0,567","0,719","0,476"
Juarez Távora (PB),"0,579","0,544","0,768","0,465"
