uf,cod_uf,cod_setor,cod_municipio,municipio,distrito,tipo,geometria
DF,53,530010805080259,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0636070660246, -15.8249885754647), (-48.06317627799631, -15.826238664051), (-48.06468804437111, -15.826718324892), (-48.0642606479525, -15.8279636072362), (-48.0633990834226, -15.8304679242164), (-48.0641081696723, -15.8307091576698), (-48.0653768540537, -15.8270630081888), (-48.06605055840231, -15.8272709416296), (-48.0661917310432, -15.8268718757907), (-48.06686428190571, -15.8270942941862), (-48.06720214091359, -15.8261406915609), (-48.0636070660246, -15.8249885754647))"
DF,53,530010805080260,5300108,Brasília,BRASÍLIA,Polygon,"((-48.061146894221, -15.8255797916056), (-48.0610036776418, -15.8259960416317), (-48.0607141342367, -15.8268308405823), (-48.0627458468739, -15.8274883941231), (-48.0642606479525, -15.8279636072362), (-48.06468804437111, -15.826718324892), (-48.06317627799631, -15.826238664051), (-48.061146894221, -15.8255797916056))"
DF,53,530010805080261,5300108,Brasília,BRASÍLIA,Polygon,"((-48.05985746813429, -15.8256284600258), (-48.0595661414852, -15.826463457807), (-48.0607141342367, -15.8268308405823), (-48.0610036776418, -15.8259960416317), (-48.05985746813429, -15.8256284600258))"
DF,53,530010805080262,5300108,Brasília,BRASÍLIA,Polygon,"((-48.060127699202, -15.8247894134336), (-48.05985746813429, -15.8256284600258), (-48.0610036776418, -15.8259960416317), (-48.061146894221, -15.8255797916056), (-48.0612893644273, -15.8251658104699), (-48.0610027034729, -15.8250729292317), (-48.060127699202, -15.8247894134336))"
DF,53,530010805080263,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0583780340295, -15.8241954131942), (-48.0579448860685, -15.8254511782911), (-48.05732974316591, -15.8252473439566), (-48.05718158570389, -15.8256959103252), (-48.0595661414852, -15.826463457807), (-48.05985746813429, -15.8256284600258), (-48.060127699202, -15.8247894134336), (-48.0583780340295, -15.8241954131942))"
DF,53,530010805080264,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0564989431945, -15.8217580075161), (-48.0557609467693, -15.823376435957), (-48.0583780340295, -15.8241954131942), (-48.060127699202, -15.8247894134336), (-48.0604223306314, -15.8239545403294), (-48.06070634812421, -15.8231370743626), (-48.0564989431945, -15.8217580075161))"
DF,53,530010805080265,5300108,Brasília,BRASÍLIA,Polygon,"((-48.06156940416599, -15.82433657598), (-48.0614290520741, -15.8247549564184), (-48.0611509539769, -15.8246557012554), (-48.0610027034729, -15.8250729292317), (-48.0612893644273, -15.8251658104699), (-48.061146894221, -15.8255797916056), (-48.06317627799631, -15.826238664051), (-48.0636070660246, -15.8249885754647), (-48.06156940416599, -15.82433657598))"
DF,53,530010805080266,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0621485994953, -15.8226705542227), (-48.0618559477951, -15.8235009188155), (-48.06156589556681, -15.823409418985), (-48.0612695287616, -15.8242341795004), (-48.06156940416599, -15.82433657598), (-48.0636070660246, -15.8249885754647), (-48.0640378907261, -15.8237441392055), (-48.064180514394, -15.8233418673217), (-48.0621485994953, -15.8226705542227))"
DF,53,530010805080267,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0640378907261, -15.8237441392055), (-48.0636070660246, -15.8249885754647), (-48.06720214091359, -15.8261406915609), (-48.0674996486119, -15.8253119201155), (-48.0654006445286, -15.8246424751202), (-48.0655424469661, -15.8242229574733), (-48.0640378907261, -15.8237441392055))"
DF,53,530010805080268,5300108,Brasília,BRASÍLIA,Polygon,"((-48.06447509268129, -15.822488708487), (-48.064180514394, -15.8233418673217), (-48.0640378907261, -15.8237441392055), (-48.0655424469661, -15.8242229574733), (-48.0654006445286, -15.8246424751202), (-48.0674996486119, -15.8253119201155), (-48.0692615532131, -15.8258620942518), (-48.06983323446979, -15.8242142974344), (-48.06786399290641, -15.8235784155056), (-48.0676557997234, -15.8236140354666), (-48.0656998734877, -15.8229758724911), (-48.0655952005801, -15.822856495751), (-48.06447509268129, -15.822488708487))"
